184.7003	+14.4167	 4254	 Gx	12 18.8	+14 25	s	Com	 	  5.4	 9.8	 	!! B, L, R, gbM, r, 3-branched spiral; = M99      	Pin-wheel nebula                   	 4254	
184.7003	+14.4167	 4254	 Gx	12 18.8	+14 25	s	Com	 	  5.4	 9.8	 	!! B, L, R, gbM, r, 3-branched spiral; = M99      	M  99                              	 4254	
184.7503	+47.3001	 4258	 Gx	12 19.0	+47 18	s	CVn	 	 18.2	 8.3	 	vB, vL, vmE 0deg , sbMBN; = M106                  	M 106                              	 4258	
185.4753	 +4.4667	 4303	 Gx	12 21.9	+04 28	s	Vir	 	  6.0	 9.7	 	vB, vL, vsbM*, biN; = M61                         	M  61                              	 4303	
185.7253	+15.8167	 4321	 Gx	12 22.9	+15 49	s	Com	 	  6.9	 9.4	 	!! pF, vL, R, vg, psbMrN, 2-br spir; = M100       	M 100                              	 4321	
186.2753	+12.8834	 4374	 Gx	12 25.1	+12 53	s	Vir	 	  5.0	 9.3	 	vB, pL, R, psbM, r; = M84                         	M  84                              	 4374	
186.3503	+18.1834	 4382	 Gx	12 25.4	+18 11	s	Com	 	  7.1	 9.2	 	vB, pL, R, bM, * np; = M85                        	M  85                              	 4382	
186.5503	+12.9500	 4406	 Gx	12 26.2	+12 57	s	Vir	 	  7.4	 9.2	 	vB, L, R, gbMN, r; = M86                          	M  86                              	 4406	
186.9253	+13.0834	 4435	 Gx	12 27.7	+13 05	s	Vir	 	  3.0	10.9	 	vB, cL, R, np of 2                                	The Eyes                           	 4435	NGC 4435, 38
186.9503	+13.0167	 4438	 Gx	12 27.8	+13 01	s	Vir	 	  9.3	10.1	 	B, cL, vlE, r, sf of 2                            	The Eyes                           	 4438	NGC 4435, 38
187.4503	 +8.0000	 4472	 Gx	12 29.8	+08 00	s	Vir	 	  8.9	 8.4	 	vB, L, R, mbM, r; = M49                           	M  49                              	 4472	
187.7003	+12.4000	 4486	 Gx	12 30.8	+12 24	s	Vir	 	  7.2	 8.6	 	vB, vL, R, mbM, 3rd of 3; = M87                   	M  87                              	 4486	
188.0003	+14.4167	 4501	 Gx	12 32.0	+14 25	s	Com	 	  6.9	 9.5	 	B, vL, vmE; = M88                                 	M  88                              	 4501	
188.8503	+14.5000	 4548	 Gx	12 35.4	+14 30	s	Com	 	  5.4	10.2	 	B, L, lE, lbM; = M91                              	M  91                              	 4548	
188.9253	+12.5500	 4552	 Gx	12 35.7	+12 33	s	Vir	 	  4.2	 9.8	 	pB, pS, R, gmbM; = M89                            	M  89                              	 4552	
189.1253	+11.2500	 4567	 Gx	12 36.5	+11 15	s	Vir	 	  3.0	11.3	 	vF, L, np of Dneb (4568 at 160deg +/- )           	Siamese Twins                      	 4567	NGC 4567-8
189.1503	+11.2334	 4568	 Gx	12 36.6	+11 14	s	Vir	 	  4.6	10.8	 	vF, L, sf of Dneb                                 	Siamese Twins                      	 4568	NGC 4567-8
189.2003	+13.1667	 4569	 Gx	12 36.8	+13 10	s	Vir	 	  9.5	 9.5	 	pL, bMN; = M90                                    	M  90                              	 4569	
189.4253	+11.8167	 4579	 Gx	12 37.7	+11 49	s	Vir	 	  5.4	 9.8	 	B, L, iR, vmbM, r; = M58                          	M  58                              	 4579	
189.8753	-26.7500	 4590	 Gb	12 39.5	-26 45	s	Hya	 	 12.0	 8.2	 	glob. cl. , L, eRi, vC, iR, rrr, st 12; = M68     	M  68                              	 4590	
190.0003	-11.6167	 4594	 Gx	12 40.0	-11 37	s	Vir	 	  8.9	 8.3	 	!, vB, vL, eE 92deg , vsmbMN; = M104              	Sombrero galaxy                    	 4594	
190.0003	-11.6167	 4594	 Gx	12 40.0	-11 37	s	Vir	 	  8.9	 8.3	 	!, vB, vL, eE 92deg , vsmbMN; = M104              	M 104                              	 4594	
190.5003	+11.6500	 4621	 Gx	12 42.0	+11 39	s	Vir	 	  5.1	 9.8	 	B, pL, lE, vsvmbM, 2 st p; = M59                  	M  59                              	 4621	
190.9253	+11.5500	 4649	 Gx	12 43.7	+11 33	s	Vir	 	  7.2	 8.8	 	vB, pL, R, f of Dneb; = M60                       	M  60                              	 4649	
191.5253	+30.7334	 4676	 Gx	12 46.1	+30 44	s	Com	 	  2.8	14.0	p	vF, pmE; biN?                                     	The Mice                           	 4676	
192.7253	+41.1167	 4736	 Gx	12 50.9	+41 07	s	CVn	 	 11.0	 8.2	 	vB, L, iR, vsvmbMBN, r; = M94                     	M  94                              	 4736	
193.4003	-60.3334	 4755	 OC	12 53.6	-60 20	s	Cru	 	 10.0	 4.2	 	Cl, vL, st vB (kappa Cru)                         	kappa Cru cluster                  	 4755	(See Jewel Box)
193.4003	-60.3334	 4755	 OC	12 53.6	-60 20	s	Cru	 	 10.0	 4.2	 	Cl, vL, st vB (kappa Cru)                         	Jewel Box                          	 4755	
194.1753	+21.6834	 4826	 Gx	12 56.7	+21 41	s	Com	 	  9.3	 8.5	 	! vB, vL, vmE 120deg +/- , bMSBN; = M64           	M  64                              	 4826	
194.1753	+21.6834	 4826	 Gx	12 56.7	+21 41	s	Com	 	  9.3	 8.5	 	! vB, vL, vmE 120deg +/- , bMSBN; = M64           	Black-eye galaxy                   	 4826	
198.2253	+18.1667	 5024	 Gb	13 12.9	+18 10	s	Com	 	 12.6	 7.7	 	!, glob. cl. , B, vC, iR, vvmbM, st 12; = M53     	M  53                              	 5024	
198.9503	+42.0334	 5055	 Gx	13 15.8	+42 02	s	CVn	 	 12.3	 8.6	 	vB, L, pmE 120deg +/- , vsmbMBN; = M63            	Sunflower galaxy                   	 5055	
198.9503	+42.0334	 5055	 Gx	13 15.8	+42 02	s	CVn	 	 12.3	 8.6	 	vB, L, pmE 120deg +/- , vsmbMBN; = M63            	M  63                              	 5055	
201.7003	-47.4834	 5139	 Gb	13 26.8	-47 29	s	Cen	 	 36.3	 3.7	 	!!!, glob. cl. , omega Cen                        	omega Cen                          	 5139	
202.4753	+47.2001	 5194	 Gx	13 29.9	+47 12	s	CVn	 	 11.0	 8.4	 	!!!, great spiral neb M51                         	Whirlpool galaxy                   	 5194	NGC 5194-5
202.4753	+47.2001	 5194	 Gx	13 29.9	+47 12	s	CVn	 	 11.0	 8.4	 	!!!, great spiral neb M51                         	M  51                              	 5194	
202.5003	+47.2667	 5195	 Gx	13 30.0	+47 16	s	CVn	 	  5.4	 9.6	 	B, pS, lE, vgbM, inv in M51                       	Whirlpool galaxy                   	 5195	NGC 5194-5
202.5003	+47.2667	 5195	 Gx	13 30.0	+47 16	s	CVn	 	  5.4	 9.6	 	B, pS, lE, vgbM, inv in M51                       	M  51                              	 5195	
